,text,Label
0,"s, there may be delays between when you delete something and when copies are deleted from our active and backup systems.You can read more about Google’s data retention periods, including how long it takes us to delete your information.Compliance & cooperation with regulatorsWe regularly review this Privacy Policy and make sure that we process your information in ways that comply with it.Data transfersWe maintain servers around the world and your information may be processed on servers located outside of the country where you live. Data protection laws vary among countries, with ",Third Party Sharing/Collection
1,"we receive formal written complaints, we respond by contacting the person who made the complaint. We work with the appropriate regulatory authorities, including local data protection authorities, to resolve any complaints regarding the transfer of your data that we cannot resolve with you directly.About this policyWhen this policy appliesThis Privacy Policy applies to all of the services offered by Google LLC and its affiliates, including YouTube, Android, and services offered on third-party sites, such as advertising services. This Privacy Policy doesn’t apply to services that ",User Choice/Control
2,"reduce your rights under this Privacy Policy without your explicit consent. We always indicate the date the last changes were published and we offer access to archived versions for your review. If changes are significant, we’ll provide a more prominent notice (including, for certain services, email notification of Privacy Policy changes).Related privacy practicesSpecific Google servicesThe following privacy notices provide additional information about some Google ",Third Party Sharing/Collection
3,"Collection from Children’s Features on the Google AssistantIf you’re a member of an organization that uses Google Workspace or Google Cloud Platform, learn how these services collect and use your personal information in the Google Cloud Privacy Notice.Other useful resourcesThe following links highlight useful resources for you to learn more about our practices and privacy settings.Your Google Account is home to many of the settings you can use to manage your accountPrivacy Checkup guides you through key privacy settings for your Google AccountGoogle’s safety center helps you learn more about our built-in security, privacy controls, and tools to help set digital ground rules for your family onlinePrivacy & Terms provides more context regarding this Privacy Policy and our Terms of ServiceTechnologies includes ",Third Party Sharing/Collection
4,"Dialer Inc. Learn more about the companies providing business services in the EU.AlgorithmA process or set of rules followed by a computer in performing problem-solving operations.Application data cacheAn application data cache is a data repository on a device. It can, for example, enable a web application to run without an internet connection and improve the performance of the application by enabling faster loading of content.Browser web storageBrowser web storage enables websites to store data in a browser on a device. When used in ""local storage"" mode, it enables data to be stored across sessions. This makes data retrievable even after a browser has been closed and reopened. One technology ",Policy Change
5,"used to identify the location from which a device is connecting to the Internet.Non-personally identifiable informationThis is information that is recorded about users so that it no longer reflects or references an individually-identifiable user.Personal informationThis is information that you provide to us which personally identifies you, such as your name, email address, or billing information, or other data that can be reasonably linked to such information by Google, such as information we associate with your Google Account.Pixel tagA pixel tag is a type of technology placed ",User Choice/Control
6,"or when an email is opened. Pixel tags are often used in combination with cookies.Referrer URLA Referrer URL (Uniform Resource Locator) is information transmitted to a destination webpage by a web browser, typically when you click a link to that page. The Referrer URL contains the URL of the last webpage the browser visited.Sensitive personal informationThis is a particular category of personal information relating to topics such as confidential medical facts, racial or ethnic origins, political or religious beliefs, or sexuality.Server logsLike most websites, our servers automatically record the page requests made when you visit our sites. These “server logs” typically include your web request, Internet Protocol address, browser type, browser language, the date and time of your request, and one or more cookies that may uniquely identify your browser.A typical log entry for a search for “cars” looks like this:... ",Third Party Sharing/Collection
7,"browser to refuse all cookies or to indicate when a cookie is being sent. Learn more about how Google uses cookies.On other platforms besides browsers, unique identifiers are used to recognize a specific device or app on that device. ",User Choice/Control
8,"you may see more ads that relate to baking as you browse the web. We also may use your IP address to determine your approximate location, so that we can serve you ads for a nearby pizza delivery service if you search for “pizza.” Learn more about Google ads and why you may see particular ads.advertising and research services on their behalfFor example, advertisers may upload data from their loyalty-card programs so that they can better understand the performance of their ad campaigns. We only provide aggregated reports to advertisers that don’t reveal information about individual people.Android device with Google appsAndroid devices with Google apps include devices sold by Google or one of our partners and include phones, cameras, vehicles, wearables, and televisions. These devices use Google Play Services and other pre-installed apps that include services like Gmail, Maps, your phone’s camera and phone dialer, text-to-speech conversion, keyboard input, and security features.combine the information we collectSome examples of how we combine the information we collect include:When you’re signed in to your Google Account and search on Google, you can see ",Third Party Sharing/Collection
9,"a Google Doc or an event in Google Calendar, Google makes it easy to do so by autocompleting their email address when you start to type in their name. This feature makes it easier to share things with people you know. Learn moreThe Google app can use data that you have stored in other Google products to show you personalized content, depending on your settings. For example, if you have searches stored in your Web & App Activity, the Google app can show you news articles and other information about your interests, like sports scores, based your activity. Learn moreIf you link your Google Account to your Google Home, you can manage your information and get things done through the Google Assistant. For example, you can add events to your Google Calendar or get your schedule for the day, ask for status updates on your upcoming flight, or send information like driving directions to your phone. Learn morecustomized search resultsFor example, when you’re signed in to your Google Account and have the Web & App Activity control enabled, you can get more relevant search results that are based on your previous searches and activity from other Google services. You can learn more here. You may also get customized search results even when you’re signed out. If you don’t want this ",Third Party Sharing/Collection
10,"in cookies on your device to help us authenticate you as the person who should have access to your Google AccountPhotos and videos you upload to Google Photos are used to help you create albums, animations, and other creations that you can share. Learn moreA flight confirmation email you receive may be used to create a “check-in” button that appears in your GmailWhen you purchase services or physical goods from us, you may provide us information like your shipping address or delivery instructions. We use this information for things like processing, fulfilling, and delivering your order, and to provide support in connection with the product or service you purchase.detect abuseWhen we detect spam, malware, illegal content, and other forms of abuse on our systems in violation of our policies, we may disable your account or take other appropriate action. In certain circumstances, we may also report the violation to appropriate authorities.devicesFor example, we can use information from your devices to help you decide which device you’d like ",Third Party Sharing/Collection
11,"account.ensure and improveFor example, we analyze how people interact with advertising to improve the performance of ",Third Party Sharing/Collection
12,"or enforceable governmental requestLike other technology and communications companies, Google regularly receives requests from governments and courts around the world to disclose user data. Respect for the privacy and security of data you store with Google underpins our approach to complying with these legal requests. Our legal team reviews each and every request, regardless of type, and we frequently push back when a request appears to be overly broad or doesn’t ",Third Party Sharing/Collection
13,"help us discover that it’s taking people too long to complete a certain task or that they have trouble finishing steps at all. We can then redesign that feature and improve the product for everyone.may link informationGoogle Analytics relies on first-party cookies, which means the cookies are set by the Google Analytics customer. Using our systems, ",Third Party Sharing/Collection
14,"data to create more relevant ads, or to further analyze its traffic. Learn morepartner with GoogleThere are over  million non-Google websites and apps that partner with Google to show ads. Learn morepayment informationFor example, if you add a credit card or other payment method to your Google Account, you can use it to buy things across our services, like apps in the Play Store. We may also ask for other information, like a business tax ID, to help process your ",Third Party Sharing/Collection
15,"ads you see more relevant to you. Learn moreprotect against abuseFor example, information about security threats can ",Third Party Sharing/Collection
16,"one browser. Blocking this cookie would prevent Google Docs from working as expected. Learn moresafety and reliabilitySome examples of how we use your information to help keep our services safe and reliable include:Collecting and analyzing IP addresses and cookie data to protect against automated abuse. This abuse takes many forms, such as sending spam to Gmail users, stealing money from advertisers by fraudulently clicking on ads, or censoring content by launching a Distributed Denial of Service (DDoS) attack.The “last account activity” feature in Gmail can help you find out if and when someone accessed your email without your knowledge. This feature shows you information about recent activity in Gmail, such as the IP addresses that accessed your mail, the associated location, and the date and time of access. Learn moresensitive categoriesWhen showing you personalized ads, we use topics that we think might be of interest ",Third Party Sharing/Collection
17,"health. And we require the same from advertisers that use our services.Sensor data from your deviceYour device may have sensors that can be used to better understand your location and movement. For example, an accelerometer can be used to determine your speed and a gyroscope to figure out your direction of travel.servers around the worldFor example, we operate data centers located around the world to help keep our products continuously available for users.services to make and receive calls or send and receive messagesExamples of these services include:Google Voice, for making and receiving calls, sending text messages, and managing voicemailGoogle Meet, for making and receiving video callsGmail, for sending and receiving emailsGoogle Chat, for sending and receiving messagesGoogle Duo, for making and receiving video calls and sending and receiving messagesGoogle Fi, for a phone planshow trendsWhen lots of people start searching for something, it can provide useful information about particular trends at that time. Google Trends samples Google web searches to estimate the popularity of searches over a certain period of time and shares those results publicly in aggregated terms. Learn morespecific Google servicesFor example, you can delete your blog from Blogger or a Google Site you own from Google Sites. You can also delete reviews you’ve left on apps, games, and other content in the ",Policy Change
18,"services. We may also process your information if people search for your name and we display search results for sites containing publicly available information about you.Views and interactions with content and adsFor example, we collect information about views and interactions with ads so we can provide aggregated reports to advertisers, like telling them whether we served their ad on a page and whether the ad was likely seen by a viewer. We may also measure other interactions, such as how you move your mouse over an ad or if you interact with the page on which the ad appears.your activity on other sites and appsThis activity might come from your use of Google services, like from syncing your ",User Choice/Control
19,"... - - [/Oct/ ::] ""POST /classify HTTP/.""  -",Policy Change
20,"From Wikipedia, the free encyclopedia",Third Party Sharing/Collection
21,This page documents a procedural policy of Wikipedia.ShortcutsWP:PGWP:RULESWP:POLICYWP:GUIDELINE,Third Party Sharing/Collection
22,What Wikipedia is not (Not a dictionary),Third Party Sharing/Collection
23,"Although Wikipedia generally does not employ hard-and-fast rules, Wikipedia's policy and guideline pages describe its principles and agreed-upon best practices. Policies are standards all users should normally follow, and guidelines are generally meant to be best practices for following those standards in specific contexts. Policies and guidelines should always be applied using reason and common sense.",Policy Change
24, Not part of the encyclopedia,Third Party Sharing/Collection
25,. Conflicts between advice pages,Third Party Sharing/Collection
26,"Wikipedia is operated by the not-for-profit Wikimedia Foundation, which reserves certain legal rights—see the Wikimedia Foundation's Policies page for a list of its policies. See also Role of Jimmy Wales. Nevertheless, normally Wikipedia is a self-governing project run by its community. Its policies and guidelines are intended to reflect the consensus of the community.",Third Party Sharing/Collection
27,"Policies have wide acceptance among editors and describe standards all users should normally follow. All policy pages are in Wikipedia:List of policies and guidelines and Category:Wikipedia policies. For summaries of key policies, see also List of policies.",Third Party Sharing/Collection
28,"Essays are the opinion or advice of an editor or group of editors for which widespread consensus has not been established. They do not speak for the entire community and may be created and written without approval. Essays the author does not want others to edit, or that contradict widespread consensus, belong in the user namespace. (For more information, see Wikipedia:Essays.)",Third Party Sharing/Collection
29,"Process pages, which facilitate application of the policies and guidelines (e.g. Wikipedia:Articles for deletion),   ",Third Party Sharing/Collection
30,"How-to or help pages (also found in the Help namespace), which provide mainly technical information,",Third Party Sharing/Collection
31,"Supplements to guidelines and policies, which explain advice in greater detail,",Third Party Sharing/Collection
32,"Historical pages, which are outdated.[]",Third Party Sharing/Collection
33,"Use common sense in interpreting and applying policies and guidelines; Rules have occasional exceptions. That said, those who violate the spirit of a rule may be reprimanded or sanctioned even if they do not technically break the rule.",User Choice/Control
34,"On discussion pages and in edit summaries, shortcuts are often used to refer to policies and guidelines. (For example, WP:NOR (no original research), WP:NPOV (neutral point of view) and WP:BLP (biographies of living persons)). Similar shortcuts are also used for other types of project page like essays and how-to guides. Thus a shortcut does not necessarily imply the page linked to has policy or guideline status or has been widely accepted by the community. Additionally, the shortcut is not the policy; the plain-English definition of the page's title or shortcut may be importantly different from the linked page.",Third Party Sharing/Collection
35,"Enforcement on Wikipedia is similar to other social interactions. If an editor violates the community standards described in policies and guidelines, other editors can persuade the person to adhere to acceptable norms of conduct, over time resorting to more forceful means, such as administrator and steward actions. In the case of gross violations of community norms, they are likely to resort to more forceful means fairly rapidly. Going against the principles set out on these pages, particularly policy pages, is unlikely to prove acceptable, although it may be possible to convince fellow editors an exception ought to be made. This means individual editors (including you) enforce and apply policies and guidelines.",Third Party Sharing/Collection
36,See also: Wikipedia:Avoid instruction creep,Third Party Sharing/Collection
37,"Be clear. Avoid esoteric or quasi-legal terms or dumbed-down language. Be plain, direct, unambiguous, and specific. Avoid platitudes and generalities. Even in guidelines, help pages, and other non-policy pages, do not be afraid to tell editors directly they must or should do something.",Data Security
38,"Emphasize the spirit of the rule. Expect editors to use common sense. If the spirit of the rule is clear, say no more.",User Choice/Control
39,"Avoid overlinking. Links to policies, guidelines, essays, and articles should be used only when clarification or context is needed. Links to other advice pages may inadvertently or intentionally defer authority to them. Make it clear ",Third Party Sharing/Collection
40,"Not contradict each other. The community's view cannot simultaneously be ""A"" and ""not A"". When apparent discrepancies arise between pages, editors at all the affected pages should discuss how they can most accurately represent the community's current position and correct all the pages to reflect the community's view. This discussion should be on one talk page, with invitations to that page at the talk pages of the various affected pages; otherwise the corrections ",User Choice/Control
41,Not part of the encyclopedia,Third Party Sharing/Collection
42,"The policies, guidelines, and process pages themselves are not part of the encyclopedia proper. Consequently, they do not generally need to conform to the same content standards or style conventions as articles. It is therefore not necessary to provide reliable sources to verify Wikipedia's administrative pages, or to phrase Wikipedia procedures or ",Third Party Sharing/Collection
43,"These pages do, however, need to comply with Wikipedia's legal and behavioral policies, as well as policies applicable to non-content pages. For example, editors may not violate copyrights anywhere on Wikipedia, and edit warring is prohibited everywhere, not merely in encyclopedia articles.",Third Party Sharing/Collection
44,"fundamental since Wikipedia's inception. Others developed as solutions to common problems and disruptive editing. Policy and guideline pages are seldom established without precedent[] and always require strong community support. Policies and guidelines may be established through new proposals, promotion of existing essays or guidelines, and reorganization of existing policies and guidelines through splitting and merging.",Third Party Sharing/Collection
45,"Current policy and guideline proposals can be found in Category:Wikipedia proposals, and failed proposals can be found in Category:Wikipedia failed proposals. All editors are welcome to comment on these proposals.",Third Party Sharing/Collection
46,"""WP:PROPOSE"" redirects here. For propose for deletion page, see Wikipedia:Proposed deletion and Wikipedia:Deletion requests.",Third Party Sharing/Collection
47,is not § Wikipedia is not a bureaucracy,Third Party Sharing/Collection
48,"for promotion to guideline or policy. Adding the {{policy}} template to a page without the required consensus does not mean the page is policy, even if the page summarizes or copies policy. Most commonly, a new policy or guideline documents existing practices, rather than proposing a change to what experienced editors already choose to do.",Policy Change
49,The first step is to write the best initial proposal you can. Authors can request early-stage feedback at Wikipedia's village pump for idea incubation and from any relevant WikiProjects. Amendments to a proposal can be discussed on its talk page. It is crucial to improve a proposal in response to feedback received from outside editors. Consensus is ,Third Party Sharing/Collection
50,"Once you think the initial proposal is well written, and the issues involved have been sufficiently discussed among early participants to create a proposal that has a solid chance of success with the broader community, start a request for comment (RfC) about your policy or guideline proposal in a new section at WP:Village Pump/Policy (VPPOL), or on ",Third Party Sharing/Collection
51,"The RfC should typically be announced at the policy and/or proposals village pumps, and you should notify other potentially interested groups. If your proposal affects a specific content area, then related WikiProjects can be found at the WikiProject directory. If your proposal relates to an existing policy or guideline, then leave a note on the talk page of the related policy or guideline. For example, proposed style guidelines should be announced at Wikipedia talk:Manual of Style, which is the main guideline for style issues. Try to identify the subcategory of guideline or policy (see {{Subcat guideline}} template). Proposals involving contentious subjects or wide-ranging effects should normally be listed on Wikipedia:Centralized discussion for the duration of the RfC. Rarely, a particularly important proposal may be advertised via a watchlist notice; sitenotices (which are displayed to all readers, not just to active editors) are not used for proposals. RfCs for policy and guideline proposals are normally left open for at least a week or sometimes a couple months.",Third Party Sharing/Collection
52,"Editors should respond to proposals in a way that helps identify and build consensus. Explain your thoughts, ask questions, and raise concerns. Many editors begin their responses with bold-font 'vote' of support or opposition to make ",Third Party Sharing/Collection
53,"Consensus for guidelines and policies should be reasonably strong, though unanimity is not required.",Third Party Sharing/Collection
54,Consider the strength of the proposed page:,User Choice/Control
55,Does the proposal contradict any existing guidelines or policies?,Third Party Sharing/Collection
56,"Is the proposed guideline or policy, or some part of it, redundant with an existing guideline or policy?",Third Party Sharing/Collection
57,numerical outcome tantamount to consensus.,Third Party Sharing/Collection
58,"Discussion may be closed as one of: Promote, No consensus, or Failed. Please leave a short note about the conclusion ",Third Party Sharing/Collection
59,"If a proposal fails, the failed tag should not usually be removed. It is typically more productive to rewrite a failed proposal from scratch to address problems, or seek consensus to integrate uncontroversial aspects of it into existing pages, than to re-nominate a proposal.",Third Party Sharing/Collection
60,"An accepted policy or guideline may become obsolete because of changes in editorial practice or community standards, ",Third Party Sharing/Collection
61,"situations editors may propose that a policy be demoted to a guideline, or that a policy or guideline be demoted to a supplement, informational page, essay or historical page. In certain cases, a policy or guideline may be superseded, in which case the old page is marked and retained for historical interest.",Third Party Sharing/Collection
62,"a reasonable amount of time for comments, an independent editor should close the discussion and evaluate the discussion and determine whether a consensus has formed to change the status.",Third Party Sharing/Collection
63,"Essays, information pages, and other informal pages that are supported by only a small minority of the community are ",Third Party Sharing/Collection
64,See also: Wikipedia:Policy writing is hard,Third Party Sharing/Collection
65,"or to obtain written documentation of a consensus in advance. However, because policies and guidelines are sensitive ",Third Party Sharing/Collection
66,"Keep in mind that the purpose of policies and guidelines is to state what most Wikipedians agree upon, and should be ",Third Party Sharing/Collection
67,"As explained below, you may update best practices by editing boldly or by working toward widespread consensus for your change through discussion.",Third Party Sharing/Collection
68,"Implement. Before making substantive changes to policy and guideline pages, it is sometimes useful to try to establish a reasonable exception to the existing practice. To try to update the existing best practices this way, you may directly deviate from the established practice following the WP:IGNORE and WP:BOLD principles and make the change to mainspace pages. After some time, if there's no objections to the change and/or if a widespread consensus for your change or implementation is reached through discussion, you can then edit policy and guideline pages describing the practice to reflect the new situation.",Third Party Sharing/Collection
69,"If the result of discussions is unclear, then it should be evaluated by an administrator or other independent editor, as in the proposal process. Major changes should also be publicized to the community in general; announcements similar to the proposal process may be appropriate.",Third Party Sharing/Collection
70,"Or be bold. Although most editors find prior discussion, especially at well-developed pages, very helpful, directly editing these pages is permitted by Wikipedia's policies. Consequently, you should not remove any change solely on the grounds that there was no formal discussion indicating consensus for the change before it was made. Instead, you should give a substantive reason for challenging it either in your edit summary or on the talk page.",Third Party Sharing/Collection
71,disclose your involvement in the argument when making the edits.,Data Security
72,"If policy and/or guideline pages directly conflict, one or more pages need to be revised to resolve the conflict so all the conflicting pages accurately reflect the community's actual practices and best advice. As a temporary measure ",Third Party Sharing/Collection
73,"More commonly, advice pages do not directly conflict, but provide multiple options. For example, Wikipedia:Reliable sources says newspaper articles are generally considered to be reliable sources, and Wikipedia:Identifying reliable sources (medicine) recommends against newspaper articles for certain technical purposes. Editors must use their best judgement to decide which advice is most appropriate and relevant to the specific situation at hand.",Third Party Sharing/Collection
74,Criticism of Wikipedia § Excessive rule-making,User Choice/Control
75,Wikipedia:Requests for comment/Wikipedia policies and guidelines – a listing of policy and guideline proposals advertised through Wikipedia:Requests for comment,Third Party Sharing/Collection
76,Wikipedia:Perennial proposals – proposals that come up very often,Third Party Sharing/Collection
77,Help:Introduction to policies and guidelines – major policies and guidelines for very new users,"User Access, Edit and Deletion"
78,Wikipedia:Simplified ruleset – an explanatory supplement of key policies and guidelines,Third Party Sharing/Collection
79,"^ Many historical essays can still be found within Meta's essay category. The Wikimedia Foundation's Meta-Wiki was envisioned as the original place for editors to comment on and discuss Wikipedia, although the ""Wikipedia"" project space has since taken over most of that role.",Third Party Sharing/Collection
80,"^ Office declarations may establish unprecedented policies to avoid copyright, legal, or technical problems, though such declarations are rare.",Third Party Sharing/Collection
81,Wikimedia values – The six values of the Wikimedia Foundation,User Choice/Control
82,vteWikipedia key policies and guidelines (?),Third Party Sharing/Collection
83,Do not disrupt Wikipedia to illustrate a point,Third Party Sharing/Collection
84,Responding to threats of harm,Policy Change
85,List of all policies and guidelines,Third Party Sharing/Collection
86,vteWikipedia accounts and governanceUnregistered (IP) users,Third Party Sharing/Collection
87,"On privacy, confidentiality and discretion",Third Party Sharing/Collection
88,User groups and global user groups,Third Party Sharing/Collection
89,Categories: Wikipedia policiesWikipedia procedural policiesWikipedia policies and guidelinesWikipedia administrationHidden categories: Project pages with short descriptionWikipedia semi-protected project pagesWikipedia move-protected ,Third Party Sharing/Collection
90,Main pageContentsCurrent eventsRandom articleAbout WikipediaContact usDonate,Third Party Sharing/Collection
91,What links hereRelated changesUpload fileSpecial pagesPermanent linkPage informationWikidata item,Third Party Sharing/Collection
92,"This page was last edited on  October , at : (UTC).",Third Party Sharing/Collection
93,"By using this site, you agree to the Terms of Use and Privacy Policy. Wikipedia® is a registered trademark of the Wikimedia Foundation, Inc., a non-profit organization.",Third Party Sharing/Collection
94,One account. All of Google.,Third Party Sharing/Collection
95,Sign in with a different account,Introductory/Generic
